race_id,runner_id,source_file,source_sha256,event_name,event_date,session_date,observed_distance_km,nominal_distance_km,distance_class,event_type,competition_context,candidate_status,verification_status,evidence_status,evidence_type,evidence_reference,context_flags,descriptive_eligible,default_modeling_eligible,exclusion_reason,registry_version,recorded_at,recorded_by,notes
bqr_runner_001__2019-11-03__marathon__01,bqr_runner_001,training-session-2019-11-03-4017914865-0c3704a9-5272-43f1-9ba9-be8f710470b5.json,a7c81f38c0d37e04701a19ac56d9263e345fde1a9c4f24dc6132f270b9525393,Notebook candidate 2019-11-03,2019-11-03,2019-11-03T06:40:04.418000,42.33,42.195,Marathon,race,unknown,verified,verified_session_reported_event,reported,notebook_manual_registry,notebooks/race_predictor_v2.ipynb,[],True,True,,d3-1.0,2026-08-03T00:00:00,d3_registry_audit_v1,Unique canonical session linked to a manually curated notebook race label.
bqr_runner_001__2019-11-17__half__01,bqr_runner_001,training-session-2019-11-17-4056580800-56ffc532-542c-49ca-9eb2-c907216ee783.json,2820f7c3470b33ebe010f1514e0019150c0034f0bb8a250530b8341efda665c7,Notebook candidate 2019-11-17,2019-11-17,2019-11-17T07:47:32.788000,20.406,21.0975,Half Marathon,race,unknown,verified,verified_session_reported_event,reported,notebook_manual_registry,notebooks/race_predictor_v2.ipynb,[],True,True,,d3-1.0,2026-08-03T00:00:00,d3_registry_audit_v1,Unique canonical session linked to a manually curated notebook race label.
bqr_runner_001__2020-07-19__race__01,bqr_runner_001,training-session-2020-07-19-4912965211-c9ac7887-86c8-40c4-be5e-4ddfb3aa1044.json,9a31a4b2aeedb2f53c991d5aa4efee5646d6bf3eae42b5d35e3f9b13596cef9c,Notebook candidate 2020-07-19,2020-07-19,2020-07-19T08:27:01.910000,12.496099609375,,Other,unknown,unknown,pending_evidence,pending_evidence,reported,notebook_manual_registry,notebooks/race_predictor_v2.ipynb,"[""insufficient_evidence""]",True,False,insufficient_evidence,d3-1.0,2026-08-03T00:00:00,d3_registry_audit_v1,Notebook candidate label=race; 1 canonical sessions on date; event evidence unresolved.
bqr_runner_001__2020-10-11__race__01,bqr_runner_001,training-session-2020-10-11-5231032672-f7db5aaa-f0f8-4a4a-ae2f-e3370a2313f0.json,ddf7e6ab33e618a4797322bde9960d22f5f9737b868d35620b08014e1f6b4230,Notebook candidate 2020-10-11,2020-10-11,2020-10-11T08:31:06.542000,11.383900390625,,Other,unknown,unknown,pending_evidence,pending_evidence,reported,notebook_manual_registry,notebooks/race_predictor_v2.ipynb,"[""insufficient_evidence""]",True,False,insufficient_evidence,d3-1.0,2026-08-03T00:00:00,d3_registry_audit_v1,Notebook candidate label=race; 1 canonical sessions on date; event evidence unresolved.
bqr_runner_001__2021-07-18__race__01,bqr_runner_001,training-session-2021-07-18-6284943579-8924bdd1-24c7-469b-a602-a4b5a26ffdb5.json,e9534bc8cb351913c20ff5db37eb89cead64c10bbe475648296bca6bab84dba6,Notebook candidate 2021-07-18,2021-07-18,2021-07-18T08:32:00.005000,12.485099609375,,Other,unknown,unknown,pending_evidence,pending_evidence,reported,notebook_manual_registry,notebooks/race_predictor_v2.ipynb,"[""insufficient_evidence""]",True,False,insufficient_evidence,d3-1.0,2026-08-03T00:00:00,d3_registry_audit_v1,Notebook candidate label=race; 1 canonical sessions on date; event evidence unresolved.
bqr_runner_001__2021-12-12__marathon__01,bqr_runner_001,training-session-2021-12-12-6799180249-a6f83b77-eb6a-4716-9b1a-117fde580145.json,6470a9af576af01430ec9dd01e25f6b47f457d45bccba20bd20b9d8bb3527154,Notebook candidate 2021-12-12,2021-12-12,2021-12-12T07:00:03.770000,42.1081015625,42.195,Marathon,race,unknown,verified,verified_session_reported_event,reported,notebook_manual_registry,notebooks/race_predictor_v2.ipynb,[],True,True,,d3-1.0,2026-08-03T00:00:00,d3_registry_audit_v1,Unique canonical session linked to a manually curated notebook race label.
bqr_runner_001__2022-07-24__race__01,bqr_runner_001,training-session-2022-07-24-7448313545-fc919af6-6077-4507-ad45-cfbfb3e1b3f3.json,d0562ec3b3210b5aa4755f33d841606cb256845aa041700fad3517c91be62b67,Notebook candidate 2022-07-24,2022-07-24,2022-07-24T08:15:43.788000,12.496599609375,,Other,unknown,unknown,pending_evidence,pending_evidence,reported,notebook_manual_registry,notebooks/race_predictor_v2.ipynb,"[""insufficient_evidence""]",True,False,insufficient_evidence,d3-1.0,2026-08-03T00:00:00,d3_registry_audit_v1,Notebook candidate label=race; 1 canonical sessions on date; event evidence unresolved.
bqr_runner_001__2022-09-04__half__01,bqr_runner_001,training-session-2022-09-04-7478021381-7b2d1c18-6824-49c3-a959-f3f619cdab6e.json,2e578c166ca65fa371b983d9323fba9451ecbbb7aa2424d74bd15f14b45e2fa3,Notebook candidate 2022-09-04,2022-09-04,2022-09-04T07:02:38.307000,21.350900390625,21.0975,Half Marathon,race,unknown,verified,verified_session_reported_event,reported,notebook_manual_registry,notebooks/race_predictor_v2.ipynb,[],True,True,,d3-1.0,2026-08-03T00:00:00,d3_registry_audit_v1,Unique canonical session linked to a manually curated notebook race label.
bqr_runner_001__2022-11-06__marathon__01,bqr_runner_001,training-session-2022-11-06-7520931220-9d9dd572-6751-411d-9333-6d67b7e8eced.json,37fdcc316acfa43ed220e0420b808f75c9902f3b5ebf098ed7ff299ac8cc61b5,Notebook candidate 2022-11-06,2022-11-06,2022-11-06T06:30:26.593000,42.452,42.195,Marathon,race,unknown,verified,verified_session_reported_event,reported,notebook_manual_registry,notebooks/race_predictor_v2.ipynb,[],True,True,,d3-1.0,2026-08-03T00:00:00,d3_registry_audit_v1,Unique canonical session linked to a manually curated notebook race label.
bqr_runner_001__2022-12-04__half__01,bqr_runner_001,training-session-2022-12-04-7537219834-3f5ab7a8-67e8-46d8-9a4a-93245a5b77d6.json,1e54ab4589419b0f8a788736b968708e76c4275af5fdafdacdbdc497d1523347,Notebook candidate 2022-12-04,2022-12-04,2022-12-04T07:00:25.048000,21.42380078125,21.0975,Half Marathon,race,unknown,verified,verified_session_reported_event,reported,notebook_manual_registry,notebooks/race_predictor_v2.ipynb,[],True,True,,d3-1.0,2026-08-03T00:00:00,d3_registry_audit_v1,Unique canonical session linked to a manually curated notebook race label.
bqr_runner_001__2023-02-26__half__01,bqr_runner_001,training-session-2023-02-26-7590053161-2d3a91ed-4717-4f98-a9e7-f2425786a33b.json,9dd58e979c563c9c191eabc2830d3a5e3ca9956a976010caf36e6a3a931f7505,Notebook candidate 2023-02-26,2023-02-26,2023-02-26T06:30:02.541000,21.203099609375,21.0975,Half Marathon,race,unknown,verified,verified_session_reported_event,reported,notebook_manual_registry,notebooks/race_predictor_v2.ipynb,[],True,True,,d3-1.0,2026-08-03T00:00:00,d3_registry_audit_v1,Unique canonical session linked to a manually curated notebook race label.
bqr_runner_001__2023-03-26__half__01,bqr_runner_001,training-session-2023-03-26-7609874243-bf321444-3843-450b-b9ce-7337eff61ef0.json,5f12883692cfb88d1a2b4f1726508a4c15ffe891c06544c64e9a9d68a502f0a9,Notebook candidate 2023-03-26,2023-03-26,2023-03-26T07:00:44.056000,21.0555,21.0975,Half Marathon,race,unknown,verified,verified_session_reported_event,reported,notebook_manual_registry,notebooks/race_predictor_v2.ipynb,[],True,True,,d3-1.0,2026-08-03T00:00:00,d3_registry_audit_v1,Unique canonical session linked to a manually curated notebook race label.
bqr_runner_001__2023-09-03__half__01,bqr_runner_001,training-session-2023-09-03-7717639518-fb240752-9ee4-4c6e-8e17-0c24561106e0.json,253929af3dcb7a0542810e262889c274b28ae64a7d5c3e333bdbe841ac82e84f,Notebook candidate 2023-09-03,2023-09-03,2023-09-03T06:32:16.132000,21.380400390625,21.0975,Half Marathon,race,unknown,verified,verified_session_reported_event,reported,notebook_manual_registry,notebooks/race_predictor_v2.ipynb,[],True,True,,d3-1.0,2026-08-03T00:00:00,d3_registry_audit_v1,Unique canonical session linked to a manually curated notebook race label.
bqr_runner_001__2023-11-05__marathon__01,bqr_runner_001,training-session-2023-11-05-7759591737-c339314a-05ef-4358-8e23-47f2321d9179.json,a9eae77785dbd92e98b09149cd57d21f159633835f0506ff9006e62fe5f1dae8,Notebook candidate 2023-11-05,2023-11-05,2023-11-05T06:30:00.399000,42.4693984375,42.195,Marathon,race,unknown,verified,verified_session_reported_event,reported,notebook_manual_registry,notebooks/race_predictor_v2.ipynb,[],True,True,,d3-1.0,2026-08-03T00:00:00,d3_registry_audit_v1,Unique canonical session linked to a manually curated notebook race label.
